timestamp,open,high,low,close,volume,returns,ma7,ma30,volatility
2024-01-30,43300.2265625,43838.9453125,42711.37109375,42952.609375,23842814518,-0.007753530092744043,41746.322544642855,42930.845963541666,0.020144554567344052
2024-01-31,42946.25,43717.40625,42298.9453125,42582.60546875,24673628793,-0.00861423582021903,42104.255580357145,42878.021744791666,0.021453706899267594
2024-02-01,42569.76171875,43243.16796875,41879.19140625,43075.7734375,21423953779,0.011581441842771323,42553.107700892855,42815.281901041664,0.020738493975411304
2024-02-02,43077.640625,43422.48828125,42584.3359375,43185.859375,18603843039,0.0025556346111748063,42748.677455357145,42826.53802083333,0.013327759026620775
2024-02-03,43184.96484375,43359.94140625,42890.80859375,42992.25,11169245236,-0.0044831659668692625,42873.27678571428,42786.948958333334,0.013684822121145133
2024-02-04,42994.94140625,43097.64453125,42374.83203125,42583.58203125,14802225490,-0.009505619472114146,42951.560825892855,42734.31197916667,0.014417123060593324
2024-02-05,42577.62109375,43494.25,42264.81640625,42658.66796875,18715487317,0.0017632602500394778,42861.62109375,42689.96106770833,0.007731897403251229
2024-02-06,42657.390625,43344.1484375,42529.01953125,43084.671875,16798476726,0.009986338686479135,42880.48716517857,42661.346875,0.008432253625800908
2024-02-07,43090.01953125,44341.94921875,42775.95703125,44318.22265625,21126587775,0.028630850081180936,43128.43247767857,42572.9375,0.012510156911452274
2024-02-08,44332.125,45575.83984375,44332.125,45301.56640625,26154524080,0.022188248784866804,43446.40290178572,42544.998697916664,0.01389434949981261
2024-02-09,45297.3828125,48152.49609375,45260.82421875,47147.19921875,39316770844,0.040741037427910465,44012.30859375,42562.312760416666,0.01846356898557441
2024-02-10,47153.52734375,48146.171875,46905.3203125,47771.27734375,16398681570,0.013236801662479536,44695.02678571428,42609.069140625,0.0168496255464179
2024-02-11,47768.96875,48535.9375,47617.40625,48293.91796875,19315867136,0.010940478338881565,45510.7890625,42790.427473958334,0.013214705739662
2024-02-12,48296.38671875,50280.4765625,47745.76171875,49958.22265625,34511985805,0.034461993507690414,46553.58258928572,43027.62213541667,0.012168948783974847
2024-02-13,49941.359375,50358.390625,48406.49609375,49742.44140625,35593051468,-0.004319233922406296,47504.69252232143,43292.49453125,0.015453809256623185
2024-02-14,49733.4453125,52021.37109375,49296.83203125,51826.6953125,39105608050,0.041900916949929146,48577.33147321428,43602.98541666667,0.01727536373028884
2024-02-15,51836.78515625,52820.06640625,51371.62890625,51938.5546875,38564360533,0.0021583350882306007,49525.47265625,43895.77239583333,0.0189580477065986
2024-02-16,51937.7265625,52537.96875,51641.3671875,52160.203125,28180567298,0.004267512618200353,50241.61607142857,44209.690755208336,0.017197642644837724
2024-02-17,52161.67578125,52191.9140625,50669.66796875,51662.99609375,20009091006,-0.009532306269177337,50797.575892857145,44556.388671875,0.01951028909981896
2024-02-18,51661.96875,52356.96484375,51233.70703125,52122.546875,17595377311,0.008895163192163213,51344.52287946428,44906.526692708336,0.019533813074495004
2024-02-19,52134.8125,52483.32421875,51711.8203125,51779.14453125,21362184346,-0.006588364620277343,51604.654575892855,45243.6453125,0.01740370721155833
2024-02-20,51777.7265625,52945.05078125,50792.3125,52284.875,33353758256,0.009767068832988945,51967.859375,45601.614973958334,0.016919873248148302
2024-02-21,52273.53515625,52368.81640625,50671.7578125,51839.1796875,28624907020,-0.008524364120598982,51969.642857142855,46012.675390625,0.008208712746330808
2024-02-22,51854.64453125,52009.61328125,50926.29296875,51304.97265625,25413900611,-0.010305082651198116,51879.131138392855,46394.65611979167,0.008992782391312355
2024-02-23,51283.90625,51497.93359375,50561.77734375,50731.94921875,21427078270,-0.011168964874795462,51675.09486607143,46749.818619791666,0.009171507626861248
2024-02-24,50736.37109375,51684.1953125,50585.4453125,51571.1015625,15174077879,0.016540904827679226,51661.967075892855,47137.72838541667,0.011509846778379304
2024-02-25,51565.21484375,51950.02734375,51306.171875,51733.23828125,15413239245,0.003143945229742817,51606.3515625,47468.27395833333,0.010943956336268976
2024-02-26,51730.5390625,54938.17578125,50931.03125,54522.40234375,34074411896,0.053914352844811164,51998.24553571428,47881.685546875,0.02303030174298593
2024-02-27,54519.36328125,57537.83984375,54484.19921875,57085.37109375,49756832031,0.04700762695380023,52684.03069196428,48383.34479166667,0.027479461628885718
